# 题目表
# 字段说明：
#   question_id: 题目唯一标识
#   knowledge_id: 关联的知识点ID
#   question_type: 题目类型 (example/practice/exam)
#   difficulty: 难度 (1-5)
#   content: 题目内容
#   answer: 答案
#   geo_config: GeoGebra可视化配置(可选)

question_id,knowledge_id,question_type,difficulty,content,answer,geo_config
Q001,K102,example,1,"用列举法表示下列集合：(1)小于10的所有自然数；(2)方程x²=x的实数根","(1) A={0,1,2,3,4,5,6,7,8,9} (2) B={0,1}",""
Q002,K102,example,2,"用描述法和列举法表示方程x²-2=0的实数根集合",描述法: A={x∈ℝ|x²-2=0}; 列举法: A={√2,-√2}",""
Q003,K104,example,1,"写出集合{a,b}的所有子集，并指出哪些是真子集","所有子集: ∅,{a},{b},{a,b}; 真子集: ∅,{a},{b}",""
Q004,K104,example,2,"判断A是否为B的子集: (1)A={1,2,3}, B={x|x是8的约数}; (2)A={x|x是长方形}, B={x|x是两条对角线相等的平行四边形}","(1)不是 (3∉B); (2)是 (长方形→对角线相等)",""
Q005,K108,example,1,"设A={4,5,6,8}, B={3,5,7,8}, 求A∪B","A∪B={3,4,5,6,7,8}","JavaScript: 动态Venn图演示"
Q006,K109,example,1,"设A={2,4,6,8,10}, B={3,5,8,12}, 求A∩B","A∩B={8}","JavaScript: 动态Venn图演示"
Q007,K110,example,1,"设U={1,2,3,4,5,6,7,8}, A={1,2,3}, 求∁_UA","∁_UA={4,5,6,7,8}",""
Q008,K108,example,2,"设A={x|-1<x<2}, B={x|1<x<3}, 求A∪B","A∪B={x|-1<x<3}","GeoGebra: 数轴上演示区间并集"
Q009,K112,example,1,"判断p是否为q的充分条件: (1)若四边形两组对角相等，则为平行四边形; (2)若x²=1，则x=1","(1)是; (2)不是(反例: x=-1)",""
Q010,K113,example,1,"判断q是否为p的必要条件: (1)若四边形是平行四边形，则两组对角相等; (2)若x=1，则x²=1","(1)是; (2)是",""
Q011,K114,example,1,"判断p是否为q的充要条件: (1)p:四边形是正方形，q:对角线互相垂直且平分; (2)p:两个三角形相似，q:三边成比例","(1)不是; (2)是",""
Q012,K115,example,1,"判断全称量词命题真假: (1)所有素数都是奇数; (2)∀x∈ℝ,|x|+1≥1","(1)假(反例:2); (2)真",""
Q013,K116,example,1,"判断存在量词命题真假: (1)存在实数x使x²+2x+3=0; (2)有些平行四边形是菱形","(1)假; (2)真",""
Q014,K117,example,1,"写出命题否定: (1)所有能被3整除的整数都是奇数; (2)∃x∈ℝ,x+2≤0","(1)存在能被3整除的整数不是奇数; (2)∀x∈ℝ,x+2>0",""
