# 知识点关系表
# 字段说明：
#   relation_id: 关系唯一标识
#   source_knowledge: 源知识点ID
#   target_knowledge: 目标知识点ID
#   relation_type: 关系类型
#   description: 关系描述

relation_id,source_knowledge,target_knowledge,relation_type,description
R001,K101,K102,包含,集合概念包含集合表示方法
R002,K101,K103,包含,集合概念包含数集符号
R003,K102,K104,前置,集合表示方法是学习子集的前置
R004,K102,K108,前置,集合表示方法是学习并集的前置
R005,K102,K109,前置,集合表示方法是学习交集的前置
R006,K104,K105,包含,子集包含真子集
R007,K104,K106,包含,子集包含集合相等
R008,K104,K107,包含,子集包含空集概念
R009,K106,K107,包含,集合相等包含空集是任何集合子集
R010,K108,K111,包含,并集包含运算律
R011,K109,K111,包含,交集包含运算律
R012,K111,K110,前置,运算律前置于补集
R013,K112,K113,互逆,充分条件和必要条件互为逆关系
R014,K112,K114,包含,充分条件包含充要条件
R015,K113,K114,包含,必要条件包含充要条件
R016,K115,K116,互斥,全称量词和存在量词互斥
R017,K115,K117,包含,全称量词包含命题否定
R018,K116,K117,包含,存在量词包含命题否定
R019,K101,K108,前置,集合概念是并集的逻辑基础
R020,K101,K109,前置,集合概念是交集逻辑基础
